id	binomial_name	registration number	shell_length	shell_width	head_length	head_width	flipper_length_1	flipper_width_1	flipper_length_2	flipper_width_2	flipper_length_3	flipper_width_3	flipper_length_4	flipper_width_4	circle_count	measure_count	shell_crack	timestamp	weight
21907	Caretta caretta	4f2cc3796218f8986aab18c917fb916c	1379	739	242	142	638	339	687	394	576	298	566	341	118	2,0		1718426938	231,184
17898	Lepidochelys olivacea	80fee3d611994ef63fddb9b740fb8612	835	625	141	121	572	383	532	464	379	348	433	330	55	4,0		1677149332	47,296
17767	Dermochelys coriacea	15b8d0516130d39d95fe0417613df026	1252	625	215	127	1298	646	1282	622	1017	527	1049	542	0	4,0		1675924288	365,64
20294	Lepidochelys olivacea	8d11bce36ac55291dba88b817bcd1835	452	384	70	87	317	275	304	273	282	187	228	194	0	4,0		1701977958	32,004
23878	Lepidochelys olivacea	e6a027ffe4f8c3941b7f59552ce9d03a	578	459	85	104	386	344	410	307	332	240	307	265	19	4,0		1738279258	37,917
20377	Chelonia mydas	44a92fa70fcfed8d57efa70701c0f230	1151	928	179	174	660	520	767	697	492	473	534	470	67	4,0	1	1702637197	111,545
18116	Caretta caretta	109129519c2b6c8416ecedefe21dbf4c	451	245			194	130	206	125	180	91	180	99	37	4,0		1679424055	46,645
19132	Dermochelys coriacea	f1211f6f307967dffe8cb80b38a5b60c	1513	764	206	173	1484	773	1818	729	1367	714	1103	747	12	1,0		1690381212	395,293
21636	chelonia mydas	1c44ccf618f9844a3a6b2cbcba6bd021	930	834	144	158	504	448	606	533	472	361	445	395	80	4,0		1715731509	82,315
20948	Lepidochelys olivacea	3a79785444915ac4b6b69e7d7e6b4a04	379	320	64	71	255	202	275	222	227	156	264	190	0	2,0		1708415981	29,412
20005	Lepidochelys olivacea	cdd86f74b496f2ce372509da66289d7b	452	347			326	243	268	240	267	212	245	204	0	1,0		1699198242	31,093
19736	Chelonia mydas	9dc5821cb1002eda00a30f65d477377f	1399	1310	225	266	704	717	820	789	694	615	739	705	123	2,0	5	1696659021	155,974
22003	Eretmochelys imbricata	9e5663675dcb6a5a114a11cc80b2fa27	225	133	42	26	97	64	92	65	81	45	93	55	21	4,0		1719420714	20,949
22189	Caretta caretta	b3a531e5b1fc9394ac3e7ae227a0a6fa	1527	795	189	152	694	364	795	382	524	301	533	253	145	2,0		1721026172	249,764
25059	Lepidochelys olivacea	c29ba5e6ae7bc56157ddd44c2195939c	522	403	92	67	311	308	374	247	280	226	297	236	0	4,0	1	1749529365	33,975
23302	Lepidochelys olivacea	ffdcee0d02bb00e82b85a426f0c1aa9b	351	270	61	49	232	187	237	193	208	148	198	183	0	4,0		1732725473	27,067
22285	Chelonia mydas	90d9def035d926e574879e77b2f372e9	837	775	144	147	505	435	507	543	394	369	444	345	98	2,0	3	1721985897	67,344
19249	Caretta caretta	a94385ebb383049f838fe097dcf86ca6	951	485	191	108	447	225	429	255	370	177	403	203	84	1,0		1691407894	129,897
20893	lepidochelys olivacea	5cc8a032d618226f63daf58f9cf30a54	448	343	65	86	318	278	314	209	233	204	253	187	0	3,0		1707846623	29,73
21277	Lepidochelys olivacea	0e15af3d82b246dff014863192487c67	589	462	89	101	423	328	381	335	313	240	298	303	23	4,0		1712002127	37,066
21350	Chelonia mydas	7c5ca58278d201ab18acecbcf6c37cde	852	788	164	182	551	422	534	527	410	471	503	405	71	1,0		1712722370	81,2
18578	Chelonia mydas	2c5f9a784773a4e8075ec9265ddac00e	1062	972	144	178	580	667	608	504	497	479	495	460	94	4,0		1684309919	98,567
19237	CHELONIA MYDAS	c353ad6bb1b4473a4754acdb40083c11	738	639	141	146	455	462	448	400	308	310	400	359	73	4,0	1	1691279837	56,31
23577	Lepidochelys olivacea	7a54cd3c504a24849ba60314beb46c03	511	353	58	77	391	290	390	302	298	215	313	247	0	3,0	1	1735597962	33,901
17780	Lepidochelys olivacea	d4c31dfc7ca93e60371abfe78da205c6	610	512	105	104	466	344	420	367	383	284	408	310	44	1,0		1676101860	40,593
21442	Lepidochelys olivacea	6c8325617948a4acaf0804fcadd8b6cb	490	373	84	67	281	226	338	259	282	224	286	218	0	3,0		1713589344	33,448
24108	Chelonia mydas	5cd698a48690ce1598e8b503b3b4deee	1225	1107	173	221	729	729	785	606	536	525	564	490	93	2,0	2	1740457740	116,408
24320	Chelonia mydas	b29a1e107ac3ddd304436f354e8a07fb	856	775	140	146	514	504	499	514	424	367	396	380	65	4,0		1742384687	74,632
23114	Lepidochelys olivacea	3440a11ce3c98c6f676f379f399c2a9b	420	327	69	69	310	213	269	219					0	2,0		1730582631	29,686
25140	Chelonia mydas	8e2b812686d2e95fc2ce4fd9faf94c75	855	759	137	133	516	376	527	518	355	343	365	366	95	1,0	3	1750339479	68,715
21594	Caretta caretta	0fb77b4c21baadb0a309390e23128cfc	305	172	53	35	176	80	159	92	139	88	125	64	24	2,0		1715183345	27,886
24548	Chelonia mydas	d5ef4e2b6ec3cb7b372043f36667202b	886	699	129	140	516	482	583	442	447	356	438	385	72	1,0		1744514176	69,253
24775	Lepidochelys olivacea	434ec5e35cbdfa2d1a4f9c7a851cf2cb	510	430	76	73	377	279	350	268	304	251	303	199	3	2,0		1746858760	34,328
22148	Chelonia mydas	859c01768d92f18be289a265455a9c36	1288	1242	171	198	920	657	785	818	648	675	595	600	116	1,0	5	1720710020	152,416
23403	Chelonia mydas	5e377f29e4b29816de73a0c6ea221861	849	844	103	153	533	477	500	482	482	397	423	353	104	4,0		1733855710	76,214
24936	Lepidochelys olivacea	243cbe156070174d689744fb8f94578d	352	303	54	57	276	181	267	211	208	181	184	173	0	4,0		1748318514	28,089
22615	Lepidochelys Olivacea	39a8029a8140a8b519d4293e84dfd572	721	636	100	115	466	462	560	388	400	361	374	359	64	4,0		1725582745	45,374
19146	Chelonia mydas	e57ddfc0b029ea13ab8188053c1b9acb	694	692	120	108	380	396	497	366	359	319	303	311	79	1,0		1690467383	53,571
21379	Caretta caretta	ba167bf00c948e7826cf22aafffee487	1038	600	169	107	539	286	499	387	459	210	425	204	105	4,0		1713003518	161,957
22706	Caretta caretta	fd1bcfeb5adaec20616d2430986b8748	155	85	30	18	77	43	86	42	62	37	67	31	29	2,0		1726466024	16,427
19149	Lepidochelys olivacea	1c2a1d1f13f92854830b445e678aeb11	491	442	98	91	373	298	367	310	283	198	288	262	4	3,0		1690488342	34,99
23966	Lepidochelys olivacea	738314074afbc86b741ca457915efb46	650	501	98	95	451	351	402	325	358	279	319	298	37	1,0		1739183261	39,321
20504	lepidochelys olivacea	0a9c5c455c730bb40de6fa016ea76358	637	483	102	93	438	341	431	351	443	273	357	349	39	2,0		1703947622	40,48
25142	Chelonia mydas	4f430de50043ea8ba0fec567ab899ee4	816	716	137	178	545	490	576	497	426	397	410	316	74	2,0		1750352948	65,473
18829	Lepidochelys olivacea	425af72805f88b3702c8b57c529efac3	513	382	99	106	340	241	331	300	325	201	293	238	4	2,0		1686843637	35,229
24556	Chelonia mydas	991b2c22f07c8be056470f6e7011d836	945	886	131	165	587	578	635	518	430	456	466	462	42	1,0		1744588869	82,869
18674	Lepidochelys olivacea	9b22f64178e0428dd796f382c13e6dac	400	319	76	58	286	159	307	225	211	143	236	151	0	1,0		1685123609	28,389
18328	Chelonia Mydas	a4bdf0915ecaf662199587a9757bd258	909	837	154	187	491	482	564	390	449	325	436	355	83			1681578017	76,404
21853	Chelonia mydas	285732ecfd55a1e213c45aa4632f346f	1053	927	165	212	613	622	652	564	515	488	469	481	65	2,0		1717880779	98,84
20398	Chelonia mydas	f1741adafd4cde85f4e3959c3509a850	1225	1123	211	247	766	629	708	581	611	527	564	565	116	3,0		1702855115	127,873
22353	Lepidochelys olivacea	79e5dc17c05b59c9348cb7e5a32f0556	590	453	79	87	461	294	369	308	343	266	348	277	16	2,0	2	1722601581	37,222
22290	eretmochelys imbricata	cf8547356999d66457f94351c78d2e05	361	201	56	48	172	98	162	101	134	79	137	64	33	3,0	1	1722041515	24,384
22546	Dermochelys coriacea	fd98b5e830de253262928892ed3310b7	2185	1043	309	236	2108	959	2300	934	1672	807	1652	993	63	3,0		1724695936	522,932
23080	Lepidochelys olivacea	c5cf1086fa3941f038a2a83557f4bdee	688	569	102	116	578	410	506	415	371	332	440	309	55	3,0		1730178580	44,468
18007	Dermochelys coriacea	670ca99eafa96d8a2aa752bb95008932	1506	688	207	152	1299	576	1543	647	1189	614	1038	585	0			1678450200	368,703
22324	Caretta caretta	54ffcadfd72eabf81c971a51ad6b2337	825	432	132	67	435	245	302	198	353	219	314	154	90	2,0		1722288232	109,618
22185	Lepidochelys olivacea	ebec719e650eca4e0d4dbd8a44a4d5c0	806	657	153	117	541	418	578	436	419	369	458	326	82	1,0		1720985427	47,579
21919	Eretmochelys imbricata	458b9a8cda4a515f466cb3eb4875b7e5	281	149	45	30	124	79	152	89	92	63	108	62	37	1,0		1718539243	21,961
24036	LEPIDOCHELYS OLIVACEA	0396c903596fa902f7154f861790a1ed	579	472	110	85	425	315	406	326	335	274	333	276	20	1,0	2	1739692942	36,732
21329	Lepidochelys olivacea	3d61ef094796de967bf916b808603fc4	506	374	86	72	399	252	369	271	285	226	236	212	0	4,0		1712554137	33,94
18272	Chelonia mydas	f6ea966dd6f44b2709b89d1e77c1c561	1117	1053	172	146	744	597	627	582	551	466	553	438	79	1,0		1680907865	108,366
22947	Chelonia mydas	97582fdcef2ab9f22fd22c889ea1fbc1	737	704	110	130	458	453	485	433	370	331	344	391	60	1,0		1728966597	59,417
18014	Chelonia mydas	c16770d82128887fd05268fbd667a3c0	747	653	111	102	423	386	450	343	394	250	365	338	59	2,0		1678509984	52,264
18906	Chelonia mydas	96cf737b05a8bb60fc01add85f35fd97	804	701	133	145	528	476	407	428	438	336	387	262	74			1687857372	59,991
20441	Caretta caretta	13eb35f7112baeb8ec872156c1a52cda	410	229	72	41	207	113	187	136	178	114	155	88	46	3,0		1703213797	42,011
23232	Chelonia mydas	86f64dd7060963bc977fe75e3a22db96	1381	1385	196	259	875	654	896	730	613	659	719	448	87	4,0		1731938473	152,788
25228	Lepidochelys olivacea	6b98903912cedecda00c120b82954ae6	838	671	140	133	586	352	589	495	431	366	409	395	97	2,0	5	1751078666	48,926
24405	Chelonia Mydas	0cfd39ed99faab98b087b75b4d762940	1196	1200	204	220	760	576	880	678	549	440	643	498	100	4,0		1743160886	136,52
21801	Lepidochelys olivacea	a8ee7edb44e9b0879b42a8dcf0ed43a8	411	354	68	72	289	269	262	247	249	168	225	189	0	2,0	1	1717391424	30,291
24940	Lepidochelys olivacea	f36fc22eb656d5226d2122769746c4dc	531	404	97	85	374	317	336	347	282	211	311	220	6			1748391141	35,416
18195	CHELONIA MYDAS	cbb194e7861c58bf2790875a7c5f96a6	774	686	134	124	415	395	487	382	353	318	375	350	71	2,0		1680148633	58,434
21437	Eretmochelys imbricata	f4290c69c8b75776ef5a60f883017765	429	249	74	51	236	126	210	134	177	99	139	106	42	3,0		1713533391	27,19
22307	Lepidochelys olivacea	9d3ea178153c19f0c586e43027032f33	343	258	60	59	307	213	234	194	196	178	192	160	0	2,0		1722158646	27,422
19368	Chelonia mydas	919a1a622236e4c2181156b1a5e6f35e	715	628	102	120	394	344	456	360	332	315	394	307	77	1,0		1692648344	52,659
21053	lepidochelys olivacea	a310adf8d71dca1f3bab3634587843a9	550	426	104	81	389	369	447	317	329	275	304	271	21	2,0		1709645951	36,482
19663	Eretmochelys imbricata	636d466e7760fdb58b5295356e9e0b19	158	95	19	16	74	56	69	56	67	36	68	39	18	2,0	1	1695931216	19,321
23474	Eretmochelys imbricata	82970651afa9816063c26828ff1e19c2	531	339	83	55	236	145	259	144	226	143	225	126	52	1,0		1734664744	30,41
21463	Eretmochelys imbricata	450630b23c55347560ef62b5ee6143ba	819	487	164	89	409	272	458	262	242	159	333	170	66	2,0		1713729456	46,983
20110	Chelonia mydas	8faddcb1cf2b0ddaaea3d4075b2d2273	1287	1080	200	202	694	693	725	641	524	535	579	553	101	4,0	3	1700130767	117,637
22675		d9096cb2ced4484ec7643d213429781c	1097	933	162	231	724	617	597	577	491	455	462	495	72	3,0		1726062917	103,661
18505	Lepidochelys olivacea	edc6ba81879f6b2ee92c403c39c1a8f3	520	450	105	96	364	284	328	270	290	199	283	241	8	2,0	1	1683499023	35,152
19521	chelonia mydas	c6fb4d67b7926128d4551e44d0219479	1228	1098	223	183	791	713	700	637	562	596	610	524	92	2,0		1694286327	133,924
23404	LEPIDOCHELYS OLIVACEA	309fa24e392f36b0bbbfdec2a7c2eae2	491	393	76	96	367	300	321	268	256	191	248	228	0	2,0	1	1733862107	33,151
23811	CHELONIA MYDAS	69a29294f3530def62992e02c008fc33	777	696	140	127	481	386	467	523	388	333	423	289	83	2,0		1737700437	61,708
23191	Caretta Caretta	2b44ee101509db77f64a7df331c8e3d5	224	136	29	23	96	79	121	62	102	46	99	49	28	1,0		1731467418	21,027
17886	caretta caretta	ad8c6ad1f24824b90f79403023a60ff0	188	109	38	13	99	51	94	45	79	43	88	49	20	1,0		1676967445	18,519
21536	Lepidochelys olivacea	ca90566ca4e8934f40a97fccfc986349	453	355	82	66	317	235	323	237	249	182	252	195	0	3,0		1714568848	31,17
18380	lepidochelys olivacea	4bf4941d0987c0d91147ac7f6cbbdabc	603	473	90	86	474	330	419	267	319	228	311	258	19	2,0		1682278291	35,712
20835	Lepidochelys olivacea	b9d9377cc28a1a01493da832af2f5576	487	343	69	71	310	278	319	288					0	3,0		1707206184	32,59
20087	Chelonia Mydas	18a27a6ded5ddb000dda2069921eb0a0	1415	1243	255	279	795	672	815	820	623	558	664	593	60	2,0		1699811512	144,879
25015	Lepidochelys olivacea	e5e59469ebd751037cdeb9e702db3f3c	737	566	113	133	451	363	529	439	417	343	391	346	42	4,0		1749052489	43,241
17606	Lepidochelys olivacea	c3c80a10ab29587d85a16611e57b28c9	479	398	85	80	358	274	324	248	282	241	268	231	0	3,0		1674147306	31,757
21320	Chelonia mydas	ccb897d7e789789934d781fec82a15ba	1029	954	168	168	672	588	541	546	482	436	509	468	94	4,0		1712489619	95,676
19310	Lepidochelys Olivacea	18efbac79118c972bad255acc78ee6ca	528	439	79	68	334	276	341	325	239	193	287	204	0	4,0		1692041028	33,888
23454	Chelonia mydas	d2d8e10dfee372f46e152c05083eab63	935	783	149	156	501	490	524	502	509	485	418	416	52	1,0		1734490188	81,88
18344	Caretta caretta	cf273507858e0530bde6029049bcad42	284	152	47	32	128	77	156	70	125	62	95	63	36	4,0		1681824350	25,797
20041	Lepidochelys olivacea	1a275ad940fb0dd1980427e756357270	329	268	49	56	245	199	270	169	191	155	192	136	0	4,0	1	1699563105	27,041
21310	Chelonia mydas	8dc28918cd178a0c3f7daa19e9d330bd	893	844	127	209	568	434	559	472	390	366	422	357	74	4,0	1	1712398250	76,581
20568	Chelonia mydas	0db7bb1aebaa9f02fd84dfba675633c9	737	689	126	150	423	440	429	428	310	298	390	290	84	3,0		1704520334	56,709
22338	Dermochelys coriacea	3123b0c9db2c6b73339c04e9857ab666	1603	759	220	147	1430	796	1494	765	1101	622	1191	611	8	1,0		1722379963	392,692
19326	Chelonia mydas	a31d3a4a11e8b051d5a2a3227de61520	853	710	123	129	439	452	537	459	370	353	382	344	75	4,0		1692154224	68,433
18552	Lepidochelys olivacea	25ee1c45703b094937bf0a563a64ebfd	452	389	86	85	333	296	296	231	235	181	303	221	0	4,0	1	1684110054	32,578
18737	Chelonia mydas	7d29a9c99ef96d9e8c7e56555748e3bb	814	717	121	161	467	386	534	431	395	378	339	313	70	4,0		1685859648	59,114
17934	Lepidochelys Olivacea	88d9de9b6fcb866e520f8128ab2d7175	602	500	92	110	404	341	416	373	326	245	283	279	26	1,0	2	1677616613	38,452
18864	Lepidochelys olivacea	7855830836f16713059a735b2276f952	444	354	78	62	321	253	315	260	275	205	279	183	0	2,0		1687272683	31,486
17511	Caretta caretta	53dacccefd0a6540b62f73d5bb227b63	283	149	49	32	136	74	129	89	125	49	98	57	35	1,0		1673182809	25,432
23365	Lepidochelys olivacea	ad679e7880e765a6156eb13f8b997304	399	308	66	60	268	249	268	235	236	163	205	170	0	4,0		1733435085	28,721
19523	Caretta caretta	05b5980f2435185afb9e7598dfa6fd4a	170	101	27	20	92	52	96	56	69	37	68	37	24	4,0		1694302670	17,341
22421	Chelonia mydas	c316f96801f06e0aa1d2c48bda123923	1174	976	200	229	679	650	715	619	526	481	592	440	108	4,0		1723413629	119,134
22663	Caretta Caretta	4dfc8a03f41aced516f5e74f5039df1a	1361	704	195	159	676	340	647	388	545	292	642	344	130	4,0		1725960414	235,452
22094	LEPIDOCHELYS OLIVACEA	9ede91f37adbdedd2b5855a72ecbb95c	478	372	86	66	367	258	332	316	254	231	270	229	0	2,0		1720260184	31,89
23257	Chelonia Mydas	0b4749a253c87808a817190e9ea286a4	909	756	125	182	507	477	612	427	432	371	389	335	86	2,0		1732145772	75,318
22923	Eretmochelys imbricata	a8ad9a1e87f0a510ed19cf33e2004222	444	287	67	47	227	128	205	138	182	112	171	104	38	3,0		1728787907	28,123
21252	Lepidochelys olivacea	5ffbec4dc4b96c400364cdc1d8ba3bfd	549	449	92	91	422	372	434	326	265	273	360	297	15	4,0		1711732023	36,847
23436	Chelonia mydas	6e103cb141423f9c05256cf8acf42aaf	12840	11550	231	203	814	563	801	603	653	555	593	588	89	2,0		1734265974	127,917
18689	Chelonia mydas	dd6cbf9ebdbaf295eed9f432d8558e30	979	873	175	147	573	561	545	503	482	389	481	436	64	1,0		1685328598	87,625
18789	Chelonia mydas	790d8bf1d708bc5cef563770682df8e8	696	610	137	140	446	401	452	414	349	312	381	324	61	1,0		1686475581	57,02
23941	Lepidochelys olivacea	af61fed3d63efd6edbf5b0f6b8158490	532	445			377	320	425	280	303	315	306	249	14	1,0		1738843357	35,39
25180	Chelonia mydas	d0fb928622c754d1791a2b66b5a08cb0	868	805	128	175	442	403	530	401	433	380	456	333	80	4,0	1	1750650102	75,452
22920	Lepidochelys olivacea	4b0aaef88cd6e9ef2bac5f21bd77800c	703	566	115	117	486	423	496	395	367	318	361	355	59	1,0		1728773914	43,403
24447	Caretta caretta	ca76f5174167a1fab1ef3744849ee1af	412	210	75	52	229	108	237	113	167	87	180	82	43	3,0		1743538466	41,597
18171	Lepidochelys olivacea	00114246435157e6cb65415dc08c9ece	575	436	106	91	354	303	346	282	311	233	293	190	8	4,0		1679974310	35,863
18813	Caretta caretta	5a1f8178bb9776feab248991fc8dacbb	934	480	165	104	458	195	419	212	337	169	341	181	74	2,0		1686670396	126,186
20396	Chelonia mydas	30c4687367d6201f3f89e40f7840be55	1161	996	191	232	628	633	702	591	516	582	503	469	76	1,0		1702844422	112,397
19565	Lepidochelys olivacea	10296ca6edac997f878a1495cae8838e	633	525	107	116	417	365	438	295	362	267	386	235	36	1,0		1694721141	39,486
19685	lepidochelys olivacea	cf27c4badbb9c3ab23665322edd260f2	491	413	83	76	360	293	363	263	292	255	286	255	0			1696095462	34,175
17820	Lepidochelys olivacea	bf4dbd31e63ca47abdc64c3a5b067457	541	424	91	66	379	301	451	303	335	266	297	242	13			1676443779	36,288
25001	Chelonia mydas	879d9ec2429c7b57aaf7eab62e3a3e91	1006	964	169	154	715	494	518	629	492	483	512	492	54	4,0		1748896000	87,762
19262	Chelonia mydas	48f77ebf65e8c1ef08b26ebdeb391398	803	723	135	193	537	371	522	491	373	305	355	336	80	4,0		1691517939	62,998
19005	Caretta caretta	77728c761650fd99cb4380c927ed26bc	268	125	46	31	115	82	132	67	109	59	80	60	26	4,0		1689086832	23,392
19542	Lepidochelys olivacea	08bdf768bb54086d5d19e12281ffa09a	646	469	101	95	440	343	435	323	358	232	345	278	22	1,0		1694499190	39,108
22843	Lepidochelys olivacea	792c029ce7726a9602a4c2826d413ce7	360	296	53	55	273	232	242	180	186	148	225	181	0	2,0		1727908285	28,173
